date,day_of_week,month,temperature,rainfall,holiday,lag_1,building_size,member_count,consumption
01-01-2000,5,1,21.23620357,3.443770551,0,217.8045501,3300,4,351.0437926
02-01-2000,6,1,38.52142919,1.344572711,0,359.2881059,3609,8,730.3022558
03-01-2000,0,1,31.95981825,13.42659635,0,401.1616588,3186,6,437.0789888
04-01-2000,1,1,27.95975453,9.268070948,0,163.9937015,2675,2,178.729172
05-01-2000,2,1,14.68055921,16.62106882,0,183.7808979,4954,5,462.693722
06-01-2000,3,1,14.67983561,1.9778168,0,290.0269936,4139,7,561.8284957
07-01-2000,4,1,11.74250837,2.894658667,1,249.9735595,3327,4,325.2051155
08-01-2000,5,1,35.98528437,6.129154627,1,367.6044799,1468,3,253.8018965
09-01-2000,6,1,28.03345035,15.31731974,1,277.0182459,4388,9,785.5070376
10-01-2000,0,1,31.24217733,6.115176463,1,100.2195976,3871,2,161.053318
11-01-2000,1,1,10.61753483,8.16837415,1,124.6789377,3730,10,961.1802858
12-01-2000,2,1,39.09729556,6.032071326,1,455.8589797,2401,1,106.8389234
13-01-2000,3,1,34.97327922,1.604485836,0,152.3292642,1012,7,686.1178754
14-01-2000,4,1,16.37017332,18.78867246,0,72.53874114,2946,3,220.2430834
15-01-2000,5,1,15.45474902,10.97077984,0,379.1545512,4142,6,592.3877573
16-01-2000,6,1,15.5021353,15.75666376,1,357.8050147,1872,3,268.5785184
17-01-2000,0,1,19.12726729,13.16714184,1,320.0342084,3022,1,130.8895486
18-01-2000,1,1,25.74269295,10.28508558,0,276.0152695,1829,7,873.7896556
19-01-2000,2,1,22.95835056,1.793565133,0,486.3111593,3401,5,481.5407513
20-01-2000,3,1,18.73687421,12.85467091,0,103.9245332,4890,4,347.6987441
21-01-2000,4,1,28.35558684,3.107407119,0,279.5732522,4178,10,952.5442771
22-01-2000,5,1,14.18481582,8.287663387,1,303.8202246,4338,2,173.791029
23-01-2000,6,1,18.76433946,12.58226287,0,60.12181327,1327,5,413.6604975
24-01-2000,0,1,20.9908553,15.64458001,1,235.3965912,1527,4,259.6272464
25-01-2000,1,1,23.68209953,13.70090351,1,402.2609564,2920,11,992.0763184
26-01-2000,2,1,33.55527884,13.43067058,0,261.9944399,2914,6,591.417613
27-01-2000,3,1,15.99021346,2.980844184,1,443.8753024,1392,7,830.9989634
28-01-2000,4,1,25.42703315,6.922570801,1,340.1595194,4297,3,247.1805785
29-01-2000,5,1,27.77243707,0.858245453,0,394.7384138,1066,5,373.9911553
30-01-2000,6,1,11.39351238,14.38953786,1,412.0160608,4264,7,657.6441723
31-01-2000,0,1,28.22634556,19.05171963,1,360.2751077,4683,3,260.2270525
01-02-2000,1,2,15.11572371,5.282207804,0,387.221297,4467,5,550.056182
02-02-2000,2,2,11.95154779,1.753934183,0,362.8897429,2002,9,938.4522371
03-02-2000,3,2,38.46656612,9.511401535,0,297.7086868,4647,8,937.2271326
04-02-2000,4,2,38.96896099,17.13396446,0,304.9398345,2406,5,419.3923318
05-02-2000,5,2,34.25192044,11.03948391,0,135.4481522,4339,6,564.5276498
06-02-2000,6,2,19.13841308,0.935543004,1,422.347655,1267,3,278.5674373
07-02-2000,0,2,12.93016342,19.48544481,0,190.4617912,2870,10,980.6647167
08-02-2000,1,2,30.5269908,16.5729982,0,291.0815971,1458,6,567.8848547
09-02-2000,2,2,23.20457481,2.631881541,1,162.2955011,4779,3,285.6818829
10-02-2000,3,2,13.66114705,18.43595513,1,363.1392406,1336,9,860.2859154
11-02-2000,4,2,24.8553073,9.013765772,1,488.8260285,3227,7,478.3366465
12-02-2000,5,2,11.03165563,7.437959811,0,410.8731056,1649,7,672.5232414
13-02-2000,6,2,37.27961206,9.221066611,0,328.5929668,2973,9,859.2103272
14-02-2000,0,2,17.76339945,16.69143914,0,305.3779402,2891,5,378.2827103
15-02-2000,1,2,29.87566853,13.18959357,1,270.3970658,3508,7,620.1145075
16-02-2000,2,2,19.35133228,1.184969048,0,142.2371443,2182,1,150.508315
17-02-2000,3,2,25.60204064,19.15208742,1,206.6045233,2476,2,311.0890106
18-02-2000,4,2,26.40130838,2.95568267,1,232.8773334,1452,2,224.8803879
19-02-2000,5,2,15.54563367,14.91135903,1,475.0560837,3960,7,679.7716364
20-02-2000,6,2,39.08753883,12.72273061,1,241.5122843,4559,4,329.1888823
21-02-2000,0,2,33.2539847,3.750560959,1,313.7856597,3072,7,783.9873367
22-02-2000,1,2,38.18496825,3.414641522,1,465.0910433,3271,7,785.0229464
23-02-2000,2,2,36.84482051,17.40655187,0,283.2918835,3925,9,805.8193936
24-02-2000,3,2,27.93699936,8.39389847,1,163.1524009,3182,2,219.3648139
25-02-2000,4,2,37.65622705,13.09153028,0,221.452748,1114,6,573.4434301
26-02-2000,5,2,12.65477506,10.08142008,1,218.9926402,1287,7,711.1907798
27-02-2000,6,2,15.87948587,14.54707034,1,371.6229041,3735,5,390.4969675
28-02-2000,0,2,11.35681867,9.584847501,1,183.2543287,3484,4,334.057447
29-02-2000,1,2,19.75990992,5.747598305,1,378.62986,4683,8,746.1609898
01-03-2000,2,3,21.66031869,7.26766742,1,450.1592203,1486,4,416.1676407
02-03-2000,3,3,18.14047095,17.18155389,1,201.2328553,2791,2,323.9915208
03-03-2000,4,3,34.86212527,9.360693858,1,110.9034951,3727,5,606.6176211
04-03-2000,5,3,20.7025998,4.268986645,0,337.3494579,2244,5,658.3473537
05-03-2000,6,3,18.42803529,18.69210776,1,212.3845104,4932,6,799.1222663
06-03-2000,0,3,26.28088249,15.93200913,0,290.2937752,2764,1,136.8368684
07-03-2000,1,3,14.22772675,1.113322921,1,335.3745343,4541,2,257.0398742
08-03-2000,2,3,34.06590942,19.97885924,1,233.4843248,3819,7,799.5246108
09-03-2000,3,3,12.23651931,13.89853393,0,466.1125033,4764,4,578.6833913
10-03-2000,4,3,39.6066081,3.205331981,0,229.8265944,2312,6,825.4672179
11-03-2000,5,3,33.16734308,4.743353626,1,188.3184473,1823,4,503.6734928
12-03-2000,6,3,15.96147045,13.84890962,0,448.5538495,2750,5,513.4461833
13-03-2000,0,3,10.16566351,15.59522111,1,111.3357755,3118,4,439.8109575
14-03-2000,1,3,34.46384285,4.780718863,0,105.894018,2532,6,722.0757772
15-03-2000,2,3,31.20572032,5.139377078,0,471.0641934,1430,4,631.1862375
16-03-2000,3,3,31.87021504,6.142413897,0,144.0357863,3421,4,453.4577512
17-03-2000,4,3,33.1381104,11.9603673,0,116.7968316,3128,2,268.7934083
18-03-2000,5,3,12.22133955,3.436323566,0,290.8257368,3883,1,102.1560581
19-03-2000,6,3,20.75397186,2.084863978,1,71.05480979,4136,1,182.2153372
20-03-2000,0,3,13.47607179,13.57728178,0,329.0067503,2518,2,197.0558998
21-03-2000,1,3,35.89310278,15.5819588,0,253.8188593,1254,4,612.4468699
22-03-2000,2,3,28.6989438,10.01858809,0,338.185384,4107,6,783.2780555
23-03-2000,3,3,19.92694075,7.276654205,1,177.7716066,4902,4,511.1922388
24-03-2000,4,3,11.90675051,8.640854271,1,457.4624965,2771,4,472.8337783
25-03-2000,5,3,19.32946965,7.768156677,0,171.7613207,1786,2,218.9011598
26-03-2000,6,3,19.75549966,19.19969816,1,336.9041085,1312,8,910.91163
27-03-2000,0,3,31.88818535,15.3617981,1,475.2913328,2329,6,761.6798697
28-03-2000,1,3,29.12672414,4.161744297,1,230.3641798,1517,5,475.2197385
29-03-2000,2,3,36.61638228,7.683783041,0,122.6419377,3656,1,187.3132495
30-03-2000,3,3,24.16644775,10.88024583,0,80.77211416,4320,7,861.475997
31-03-2000,4,3,13.58782738,12.25971724,1,483.3580986,1703,2,252.6691761
01-04-2000,5,4,31.39734362,9.363677921,1,393.6656687,1804,5,706.0425278
02-04-2000,6,4,32.82355146,16.2025327,0,463.528427,840,3,405.6474373
03-04-2000,0,4,26.83831593,15.35212039,0,364.4748739,4729,6,873.5994305
04-04-2000,1,4,33.1290154,10.10315837,1,204.1018269,3975,5,628.2506956
05-04-2000,2,4,24.81386789,17.08858774,0,105.3574637,4131,2,304.6522557
06-04-2000,3,4,25.68198488,15.02179061,1,468.1880867,1789,1,111.3978134
07-04-2000,4,4,22.82623055,15.57163697,0,270.3285699,4925,2,291.1224365
08-04-2000,5,4,10.7625738,19.12801559,0,228.4290483,1905,3,428.8025155
09-04-2000,6,4,13.23674281,5.329338824,0,310.0064276,1154,6,737.5464521
10-04-2000,0,4,10.94287557,5.352963247,0,97.95169464,2137,2,226.6673009
11-04-2000,1,4,29.09231234,17.77904511,1,189.1417187,2658,3,340.0009514
12-04-2000,2,4,19.43067943,15.44452747,0,337.0442482,1334,4,431.8042574
13-04-2000,3,4,25.25712073,18.53091083,0,95.05532586,3866,1,113.3336505
14-04-2000,4,4,37.22699422,1.262603206,0,110.8592415,1052,6,647.7063861
15-04-2000,5,4,17.47876687,12.55514155,0,279.7645388,2767,1,113.3336505
16-04-2000,6,4,22.31148769,2.892566762,0,330.5557061,4434,6,647.7063861
17-04-2000,0,4,32.66653416,10.07794397,1,134.1507676,3599,5,539.7553218
18-04-2000,1,4,16.86394496,3.114938637,1,64.8880855,3457,3,340.0009514
19-04-2000,2,4,12.30939729,2.56157018,0,481.2651017,4041,6,647.7063861
20-04-2000,3,4,18.69254359,0.243366908,1,62.37169605,2289,3,340.0009514
21-04-2000,4,4,14.83663862,12.60477625,0,50.92341868,1571,8,794.9136808
22-04-2000,5,4,37.89092957,7.180452334,1,195.503256,4294,8,794.9136808
23-04-2000,6,4,34.24361139,2.103765698,0,150.1039259,2698,5,539.7553218
24-04-2000,0,4,29.0021127,6.456755555,0,308.1138629,3262,9,894.2778909
25-04-2000,1,4,36.14381771,3.378881829,1,452.3939946,3518,2,226.6673009
26-04-2000,2,4,34.11016231,18.83389663,0,266.4984526,3401,6,647.7063861
27-04-2000,3,4,15.59710177,6.400097715,0,397.985544,3891,3,340.0009514
28-04-2000,4,4,36.77676995,6.679070466,0,459.1521673,1935,3,340.0009514
29-04-2000,5,4,26.18026726,16.79716007,0,135.2298441,1523,6,647.7063861
30-04-2000,6,4,34.22320465,12.95511523,0,269.7398988,3455,4,431.8042574
01-05-2000,0,5,36.882739,14.20343215,1,338.9314998,4403,6,647.7063861
02-05-2000,1,5,19.54010425,12.72003608,1,199.3474571,1839,3,340.0009514
03-05-2000,2,5,13.30155774,18.92392568,1,382.8884499,3354,6,647.7063861
04-05-2000,3,5,16.83805488,4.140016631,1,367.3917388,3928,7,695.5494707
05-05-2000,4,5,22.81323366,19.78078484,0,239.4924279,4146,3,340.0009514
06-05-2000,5,5,34.54044298,16.61912355,0,89.57918904,3884,7,695.5494707
07-05-2000,6,5,35.8219175,11.77945178,1,55.20595257,4403,5,539.7553218
08-05-2000,0,5,10.20856392,13.24743249,0,216.207303,3210,8,794.9136808
